date,total_passenger,commute_passenger,other_passenger,holiday_or_weekend
2022-03-12,2896600.0,848711.0,2047889.0,1
2022-03-13,1859371.0,543249.0,1316122.0,1
2022-03-14,1859371.0,543249.0,1316122.0,0
2022-03-15,4069954.0,1777094.0,2292860.0,0
2022-03-16,4072744.0,1762934.0,2309810.0,0
2022-03-17,4020452.0,1757680.0,2262772.0,0
2022-03-18,4084024.0,1723984.0,2360040.0,0
2022-03-19,2634771.0,792361.0,1842410.0,1
2022-03-20,2090251.0,612216.0,1478035.0,1
2022-03-21,4036156.0,1772838.0,2263318.0,0
2022-03-22,4099840.0,1802525.0,2297315.0,0
2022-03-23,4094826.0,1790234.0,2304592.0,0
2022-03-24,4132904.0,1806993.0,2325911.0,0
2022-03-25,4261068.0,1796817.0,2464251.0,0
2022-03-26,2805144.0,836103.0,1969041.0,1
2022-03-27,2219678.0,645093.0,1574585.0,1
2022-03-28,4138652.0,1813248.0,2325404.0,0
2022-03-29,4207660.0,1834404.0,2373256.0,0
2022-03-30,4170524.0,1808793.0,2361731.0,0
2022-03-31,4233789.0,1824664.0,2409125.0,0
2022-04-01,4394689.0,1842831.0,2551858.0,0
2022-04-02,3151848.0,928636.0,2223212.0,1
2022-04-03,2351123.0,683609.0,1667514.0,1
2022-04-04,4244812.0,1869293.0,2375519.0,0
2022-04-05,4331592.0,1895641.0,2435951.0,0
2022-04-06,4409005.0,1907379.0,2501626.0,0
2022-04-07,4422657.0,1908420.0,2514237.0,0
2022-04-08,4585092.0,1895729.0,2689363.0,0
2022-04-09,3470831.0,1014533.0,2456298.0,1
2022-04-10,2681169.0,767323.0,1913846.0,1
2022-04-11,4459361.0,1928001.0,2531360.0,0
2022-04-12,4521706.0,1963025.0,2558681.0,0
2022-04-13,4439305.0,1942951.0,2496354.0,0
2022-04-14,4453655.0,1923775.0,2529880.0,0
2022-04-15,4638909.0,1927940.0,2710969.0,0
2022-04-16,3352549.0,991172.0,2361377.0,1
2022-04-17,2495998.0,725792.0,1770206.0,1
2022-04-18,4387615.0,1918508.0,2469107.0,0
2022-04-19,4521227.0,1973760.0,2547467.0,0
2022-04-20,4602526.0,1982429.0,2620097.0,0
2022-04-21,4671808.0,2050904.0,2620904.0,0
2022-04-22,4586602.0,1937913.0,2648689.0,0
2022-04-23,3365265.0,1000499.0,2364766.0,1
2022-04-24,2483565.0,729331.0,1754234.0,1
2022-04-25,4521335.0,1963329.0,2558006.0,0
2022-04-26,4601757.0,1972796.0,2628961.0,0
2022-04-27,4743955.0,2023525.0,2720430.0,0
2022-04-28,4748811.0,2009746.0,2739065.0,0
2022-04-29,4851759.0,2022200.0,2829559.0,0
2022-04-30,3419860.0,1001461.0,2418399.0,1
2022-05-01,2648459.0,773111.0,1875348.0,1
2022-05-02,4627327.0,2020001.0,2607326.0,0
2022-05-03,4786304.0,2062972.0,2723332.0,0
2022-05-04,5006309.0,2101541.0,2904768.0,0
2022-05-05,3030038.0,877343.0,2152695.0,1
2022-05-06,4463000.0,1712607.0,2750393.0,0
2022-05-07,3315644.0,987292.0,2328352.0,1
2022-05-08,2583449.0,759141.0,1824308.0,1
2022-05-09,4647815.0,2022257.0,2625558.0,0
2022-05-10,4771566.0,2063528.0,2708038.0,0
2022-05-11,4855927.0,2072577.0,2783350.0,0
2022-05-12,4848493.0,2058269.0,2790224.0,0
2022-05-13,4978749.0,2044406.0,2934343.0,0
2022-05-14,3650111.0,1081100.0,2569011.0,1
2022-05-15,2777074.0,817173.0,1959901.0,1
2022-05-16,4690525.0,2027249.0,2663276.0,0
2022-05-17,4794093.0,2060195.0,2733898.0,0
2022-05-18,4826559.0,2086661.0,2739898.0,0
2022-05-19,4834528.0,2051738.0,2782790.0,0
2022-05-20,4967140.0,2028308.0,2938832.0,0
2022-05-21,3707426.0,1097702.0,2609724.0,1
2022-05-22,2727349.0,793875.0,1933474.0,1
2022-05-23,4700341.0,2022555.0,2677786.0,0
2022-05-24,4872309.0,2108616.0,2763693.0,0
2022-05-25,4977073.0,2129665.0,2847408.0,0
2022-05-26,4887002.0,2062693.0,2824309.0,0
2022-05-27,5008393.0,2045483.0,2962910.0,0
2022-05-28,3668928.0,1072548.0,2596380.0,1
2022-05-29,2670186.0,784653.0,1885533.0,1
2022-05-30,4643237.0,2011202.0,2632035.0,0
2022-05-31,4945378.0,2068721.0,2876657.0,0
2022-06-01,3152643.0,919685.0,2232958.0,0
2022-06-02,4755792.0,2015691.0,2740101.0,0
2022-06-03,4868209.0,2005850.0,2862359.0,0
2022-06-04,3421233.0,1013971.0,2407262.0,1
2022-06-05,2606830.0,753361.0,1853469.0,1
2022-06-06,2520691.0,752869.0,1767822.0,1
2022-06-07,4724282.0,2029991.0,2694291.0,0
2022-06-08,4797416.0,2059292.0,2738124.0,0
2022-06-09,4742997.0,2061396.0,2681601.0,0
