대여일자,대여건수
2022-10-07,181961
2022-10-08,166740
2022-10-09,24968
2022-10-10,72486
2022-10-11,157516
2022-10-12,171262
2022-10-13,175695
2022-10-14,180404
2022-10-15,160508
2022-10-16,134682
2022-10-17,149613
2022-10-18,152318
2022-10-19,159650
2022-10-20,163096
2022-10-21,167708
2022-10-22,146898
2022-10-23,124544
2022-10-24,147964
2022-10-25,157819
2022-10-26,163030
2022-10-27,163519
2022-10-28,167004
2022-10-29,146310
2022-10-30,126689
2022-10-31,160105
2022-11-01,162916
2022-11-02,161133
2022-11-03,146669
2022-11-04,127701
2022-11-05,109291
2022-11-06,106962
2022-11-07,146674
2022-11-08,157941
2022-11-09,157102
2022-11-10,158857
2022-11-11,165833
2022-11-12,66917
2022-11-13,87874
2022-11-14,141077
2022-11-15,125177
2022-11-16,141697
2022-11-17,148576
2022-11-18,152302
2022-11-19,126814
2022-11-20,119927
2022-11-21,147806
2022-11-22,140744
2022-11-23,148238
2022-11-24,146932
2022-11-25,145164
2022-11-26,90547
2022-11-27,82725
2022-11-28,57034
2022-11-29,92580
2022-11-30,75339
2022-12-01,74903
2022-12-02,84067
2022-12-03,57915
2022-12-04,44873
2022-12-05,77692
2022-12-06,80830
2022-12-07,96194
2022-12-08,100979
2022-12-09,102213
2022-12-10,72960
2022-12-11,60129
2022-12-12,59098
2022-12-13,57490
2022-12-14,54486
2022-12-15,37020
2022-12-16,41953
2022-12-17,31405
2022-12-18,25468
2022-12-19,51854
2022-12-20,64281
2022-12-21,31784
2022-12-22,39874
2022-12-23,33722
2022-12-24,28612
2022-12-25,25623
2022-12-26,52580
2022-12-27,58890
2022-12-28,54012
2022-12-29,57387
2022-12-30,56058
2022-12-31,42347
2023-01-01,38037
2023-01-02,56609
2023-01-03,61251
2023-01-04,67721
2023-01-05,68710
2023-01-06,63125
2023-01-07,42492
2023-01-08,44620
2023-01-09,74134
2023-01-10,80604
2023-01-11,81988
2023-01-12,87593
2023-01-13,20791
2023-01-14,25896
2023-01-15,21415
2023-01-16,61311
2023-01-17,67337
2023-01-18,71361
2023-01-19,68359
2023-01-20,51397
2023-01-21,30226
2023-01-22,22752
