season,day_type,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
Spring,weekday,389.0,13.0,59.10460251046025,2300.3545585598263,239,47.0,34.0,63.0,29.0,3.585915026588604,16.8882834611864,376.0
Spring,weekend,384.0,11.0,53.653131232548866,1643.291724436205,109,46.0,34.0,61.0,27.0,5.215577569637176,38.69906028660357,373.0
Summer,weekday,65.0,8.0,27.83739837398374,123.96528953044643,246,26.0,20.0,33.0,13.0,0.8641856701460523,0.5729381051848446,57.0
Summer,weekend,72.0,10.0,28.58002336448598,115.01892647350552,107,26.0,22.0,33.0,11.0,1.516056553671092,3.367394772213422,62.0
Fall,weekday,102.0,9.0,29.7192118226601,198.2722528410478,203,27.0,19.0,36.0,17.0,1.7092259894414352,4.742090785095122,93.0
Fall,weekend,140.0,10.0,27.174596431605774,249.40109541293896,107,24.0,18.5,32.0,13.5,3.762246602804986,22.884176862048815,130.0
Winter,weekday,247.0,11.0,45.532710280373834,628.0998639813965,214,39.0,30.0,56.0,26.0,3.1187271723776044,19.240010685828814,236.0
Winter,weekend,161.0,14.0,48.92307692307692,895.1202389843163,104,39.0,28.0,61.5,33.5,1.4943169420437525,1.8122773532552463,147.0
