year,Max,Min,Mean,Variance,Count
2021,389.0,9.0,48.0907481833313,1654.1920380268182,357
2022,247.0,8.0,36.07239363107823,457.20248874835085,344
2023,333.0,10.0,41.469531900716305,933.9514258914207,348
2024,277.0,10.0,34.44370718050066,587.4943199923586,280
