year,day_type,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
2021,weekday,389.0,9.0,48.273092369477915,1543.6106037051427,249,39.0,26.0,57.0,31.0,4.274981327129012,28.417056583887533,380.0
2021,weekend,384.0,10.0,47.67034353193773,1925.696904578121,108,37.0,24.0,57.09927536231884,33.09927536231884,4.54665555393624,30.293943968887483,374.0
2022,weekday,247.0,8.0,36.09090909090909,508.59604743082986,231,31.0,25.0,42.0,17.0,4.782521146874994,36.772111802053765,239.0
2022,weekend,129.0,10.0,36.03454344328238,355.7421576045006,113,33.0,24.0,43.0,19.0,2.0960921177847966,6.457912191410573,119.0
2023,weekday,333.0,10.0,42.1228813559322,1052.7976018752258,236,33.5,25.0,49.0,24.0,4.467601155158934,31.081642247036214,323.0
2023,weekend,161.0,10.0,40.09283126293996,687.9341798448457,112,32.0,24.0,49.25,25.25,1.9694512786203442,4.614216569991076,151.0
2024,weekday,277.0,10.0,34.693548387096776,698.6353095030512,186,29.0,21.0,40.0,19.0,5.180322946176533,39.43258085925604,267.0
2024,weekend,116.0,11.0,33.949340537661534,372.3526810259167,94,28.0,22.25,40.0,17.75,2.0849517408546716,5.190996480164046,105.0
