,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
52,2021-02-22,0.16010498687664043,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
53,2021-02-23,0.16010498687664043,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
54,2021-02-24,0.15223097112860892,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
55,2021-02-25,0.17060367454068243,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
56,2021-02-26,0.08923884514435695,0.0,0.0,Weekday,Winter,2021,Normal,Dry,No_Snow,0.0
57,2021-02-27,0.03937007874015748,0.0,0.0,Weekend,Winter,2021,Good,Dry,No_Snow,0.0
58,2021-02-28,0.06299212598425197,0.0,0.0,Weekend,Winter,2021,Normal,Dry,No_Snow,0.0
59,2021-03-01,0.12965118490623453,0.3830874006810443,2.3,Weekend,Spring,2021,Normal,Heavy,Moderate_Snow,0.16666666666666666
60,2021-03-02,0.026246719160104987,0.0005675368898978435,2.3,Weekday,Spring,2021,Good,Light,Moderate_Snow,0.16666666666666666
61,2021-03-03,0.12860892388451445,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
62,2021-03-04,0.15223097112860892,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
63,2021-03-05,0.12598425196850394,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
64,2021-03-06,0.08136482939632546,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
65,2021-03-07,0.07611548556430446,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
66,2021-03-08,0.12335958005249342,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
67,2021-03-09,0.1443569553805774,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
68,2021-03-10,0.31758530183727035,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
