,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
60,2021-03-02,18.0,0.1,2.3,Weekday,Spring,2021,Good,Light,Moderate_Snow,23.0
61,2021-03-03,57.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
62,2021-03-04,66.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
63,2021-03-05,56.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
64,2021-03-06,39.0,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
65,2021-03-07,37.0,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
66,2021-03-08,55.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
67,2021-03-09,63.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
68,2021-03-10,129.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
69,2021-03-11,156.0,0.0,0.0,Weekday,Spring,2021,Very_bad,Dry,No_Snow,0.0
70,2021-03-12,89.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
71,2021-03-13,74.0,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
72,2021-03-14,117.0,0.0,0.0,Weekend,Spring,2021,Bad,Dry,No_Snow,0.0
73,2021-03-15,128.0,1.7,0.0,Weekday,Spring,2021,Bad,Light,No_Snow,0.0
74,2021-03-16,129.0,1.3,0.0,Weekday,Spring,2021,Bad,Light,No_Snow,0.0
75,2021-03-17,121.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
76,2021-03-18,132.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
77,2021-03-19,85.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
78,2021-03-20,46.0,5.1,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
79,2021-03-21,58.0,0.3,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
80,2021-03-22,50.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
81,2021-03-23,108.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
82,2021-03-24,89.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
83,2021-03-25,95.0,0.0,0.0,Weekday,Spring,2021,Bad,Dry,No_Snow,0.0
84,2021-03-26,159.0,0.0,0.0,Weekday,Spring,2021,Very_bad,Dry,No_Snow,0.0
85,2021-03-27,107.0,25.5,0.0,Weekend,Spring,2021,Bad,Moderate,No_Snow,0.0
86,2021-03-28,57.39710144927536,9.2,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
87,2021-03-29,389.0,0.2,0.0,Weekday,Spring,2021,Very_bad,Light,No_Snow,0.0
88,2021-03-30,189.0,0.0,0.0,Weekday,Spring,2021,Very_bad,Dry,No_Snow,0.0
89,2021-03-31,50.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
90,2021-04-01,52.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
91,2021-04-02,57.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
92,2021-04-03,51.0,56.2,0.0,Weekend,Spring,2021,Normal,Heavy,No_Snow,0.0
93,2021-04-04,57.39710144927536,0.6,0.0,Weekend,Spring,2021,Normal,Light,No_Snow,0.0
94,2021-04-05,30.0,0.0,0.0,Weekday,Spring,2021,Good,Dry,No_Snow,0.0
95,2021-04-06,54.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
96,2021-04-07,72.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
97,2021-04-08,41.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
98,2021-04-09,42.0,0.0,0.0,Weekday,Spring,2021,Normal,Dry,No_Snow,0.0
99,2021-04-10,45.0,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
100,2021-04-11,59.0,0.0,0.0,Weekend,Spring,2021,Normal,Dry,No_Snow,0.0
101,2021-04-12,62.0,22.0,0.0,Weekday,Spring,2021,Normal,Moderate,No_Snow,0.0
