,station_id,station_name,date,fine_dust(㎍/㎥)
173,108,서울,2021-06-29,38
174,108,서울,2021-06-30,53
175,108,서울,2021-07-01,42
176,108,서울,2021-07-02,27
177,108,서울,2021-07-03,16
178,108,서울,2021-07-04,15
179,108,서울,2021-07-05,29
180,108,서울,2021-07-06,50
181,108,서울,2021-07-07,57
182,108,서울,2021-07-08,33
183,108,서울,2021-07-09,21
184,108,서울,2021-07-10,37
185,108,서울,2021-07-11,43
186,108,서울,2021-07-12,32
187,108,서울,2021-07-13,41
188,108,서울,2021-07-14,27
189,108,서울,2021-07-15,24
190,108,서울,2021-07-16,21
191,108,서울,2021-07-17,19
192,108,서울,2021-07-18,22
193,108,서울,2021-07-19,22
194,108,서울,2021-07-20,24
195,108,서울,2021-07-21,26
196,108,서울,2021-07-22,29
197,108,서울,2021-07-23,37
198,108,서울,2021-07-24,37
199,108,서울,2021-07-25,28
200,108,서울,2021-07-26,29
201,108,서울,2021-07-27,29
202,108,서울,2021-07-28,38
203,108,서울,2021-07-29,46
204,108,서울,2021-07-30,30
205,108,서울,2021-07-31,25
206,108,서울,2021-08-01,40
207,108,서울,2021-08-02,20
208,108,서울,2021-08-03,27
209,108,서울,2021-08-04,25
210,108,서울,2021-08-05,25
211,108,서울,2021-08-06,19
212,108,서울,2021-08-07,17
213,108,서울,2021-08-08,23
214,108,서울,2021-08-09,16
215,108,서울,2021-08-10,21
216,108,서울,2021-08-11,39
217,108,서울,2021-08-12,37
218,108,서울,2021-08-13,29
219,108,서울,2021-08-14,16
220,108,서울,2021-08-15,18
221,108,서울,2021-08-16,23
222,108,서울,2021-08-17,22
223,108,서울,2021-08-18,19
224,108,서울,2021-08-19,18
225,108,서울,2021-08-20,24
226,108,서울,2021-08-21,23
227,108,서울,2021-08-22,28
228,108,서울,2021-08-23,36
229,108,서울,2021-08-24,19
230,108,서울,2021-08-25,21
231,108,서울,2021-08-26,48
232,108,서울,2021-08-27,36
233,108,서울,2021-08-28,45
234,108,서울,2021-08-29,42
235,108,서울,2021-08-30,46
236,108,서울,2021-08-31,37
237,108,서울,2021-09-01,9
238,108,서울,2021-09-02,17
239,108,서울,2021-09-03,17
240,108,서울,2021-09-04,12
241,108,서울,2021-09-05,14
242,108,서울,2021-09-06,19
243,108,서울,2021-09-07,14
244,108,서울,2021-09-08,15
245,108,서울,2021-09-09,40
246,108,서울,2021-09-10,41
247,108,서울,2021-09-11,36
248,108,서울,2021-09-12,21
249,108,서울,2021-09-13,25
250,108,서울,2021-09-14,20
251,108,서울,2021-09-15,16
252,108,서울,2021-09-16,14
253,108,서울,2021-09-17,16
254,108,서울,2021-09-18,16
255,108,서울,2021-09-19,14
256,108,서울,2021-09-20,15
257,108,서울,2021-09-21,22
258,108,서울,2021-09-22,18
259,108,서울,2021-09-23,18
260,108,서울,2021-09-24,20
261,108,서울,2021-09-25,12
262,108,서울,2021-09-26,10
263,108,서울,2021-09-27,14
264,108,서울,2021-09-28,14
265,108,서울,2021-09-29,19
266,108,서울,2021-09-30,26
267,108,서울,2021-10-01,39
268,108,서울,2021-10-03,39
269,108,서울,2021-10-04,36
270,108,서울,2021-10-05,32
271,108,서울,2021-10-06,12
272,108,서울,2021-10-07,17
273,108,서울,2021-10-08,28
274,108,서울,2021-10-09,13
275,108,서울,2021-10-10,24
276,108,서울,2021-10-11,24
277,108,서울,2021-10-12,14
278,108,서울,2021-10-13,16
279,108,서울,2021-10-14,24
280,108,서울,2021-10-15,26
281,108,서울,2021-10-16,30
282,108,서울,2021-10-17,21
283,108,서울,2021-10-18,27
284,108,서울,2021-10-19,43
285,108,서울,2021-10-20,33
286,108,서울,2021-10-21,35
287,108,서울,2021-10-22,39
288,108,서울,2021-10-23,39
289,108,서울,2021-10-24,33
290,108,서울,2021-10-25,31
291,108,서울,2021-10-26,57
292,108,서울,2021-10-27,59
293,108,서울,2021-10-28,31
294,108,서울,2021-10-29,22
295,108,서울,2021-10-30,25
296,108,서울,2021-10-31,40
297,108,서울,2021-11-01,48
298,108,서울,2021-11-02,47
299,108,서울,2021-11-03,49
300,108,서울,2021-11-04,69
301,108,서울,2021-11-05,74
302,108,서울,2021-11-06,63
303,108,서울,2021-11-07,32
304,108,서울,2021-11-08,15
305,108,서울,2021-11-09,13
306,108,서울,2021-11-10,19
307,108,서울,2021-11-11,19
308,108,서울,2021-11-12,20
309,108,서울,2021-11-13,25
310,108,서울,2021-11-14,54
311,108,서울,2021-11-15,50
312,108,서울,2021-11-16,44
313,108,서울,2021-11-17,33
314,108,서울,2021-11-18,57
315,108,서울,2021-11-19,102
316,108,서울,2021-11-20,140
317,108,서울,2021-11-23,23
318,108,서울,2021-11-24,25
319,108,서울,2021-11-25,40
320,108,서울,2021-11-26,25
321,108,서울,2021-11-27,41
322,108,서울,2021-11-28,59
323,108,서울,2021-11-29,66
324,108,서울,2021-11-30,31
325,108,서울,2021-12-01,19
326,108,서울,2021-12-02,25
327,108,서울,2021-12-03,22
328,108,서울,2021-12-04,22
329,108,서울,2021-12-05,40
330,108,서울,2021-12-06,49
331,108,서울,2021-12-07,50
332,108,서울,2021-12-08,41
333,108,서울,2021-12-09,37
334,108,서울,2021-12-10,33
335,108,서울,2021-12-11,69
336,108,서울,2021-12-12,42
337,108,서울,2021-12-13,20
338,108,서울,2021-12-14,36
339,108,서울,2021-12-15,81
340,108,서울,2021-12-16,85
341,108,서울,2021-12-17,33
342,108,서울,2021-12-18,26
343,108,서울,2021-12-19,28
344,108,서울,2021-12-20,52
345,108,서울,2021-12-21,59
346,108,서울,2021-12-22,34
347,108,서울,2021-12-23,43
348,108,서울,2021-12-24,54
349,108,서울,2021-12-25,26
350,108,서울,2021-12-26,19
351,108,서울,2021-12-27,33
352,108,서울,2021-12-28,60
353,108,서울,2021-12-29,70
354,108,서울,2021-12-30,30
355,108,서울,2021-12-31,21
356,108,서울,2022-01-01,34
357,108,서울,2022-01-02,42
358,108,서울,2022-01-03,28
359,108,서울,2022-01-04,37
360,108,서울,2022-01-05,52
361,108,서울,2022-01-06,59
362,108,서울,2022-01-07,65
363,108,서울,2022-01-08,70
364,108,서울,2022-01-09,129
365,108,서울,2022-01-10,97
366,108,서울,2022-01-11,33
367,108,서울,2022-01-12,27
368,108,서울,2022-01-13,29
369,108,서울,2022-01-14,32
370,108,서울,2022-01-15,52
371,108,서울,2022-01-16,46
372,108,서울,2022-01-17,30
373,108,서울,2022-01-18,38
374,108,서울,2022-01-19,56
375,108,서울,2022-01-20,46
376,108,서울,2022-01-21,44
377,108,서울,2022-01-22,68
