지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),일 최심적설(cm)
108,서울,2021-01-01,-4.2,-9.8,1.6,,2,
108,서울,2021-01-02,-5,-8.4,-1.4,,2.6,
108,서울,2021-01-03,-5.6,-9.1,-2,,2,
108,서울,2021-01-04,-3.5,-8.4,.3,0,1.7,0
108,서울,2021-01-05,-5.5,-9.9,-2.1,0,2.9,0
108,서울,2021-01-06,-7.4,-12,-1.9,2.3,2.4,3.8
108,서울,2021-01-07,-14.5,-16.5,-8.4,,4.1,3.3
108,서울,2021-01-08,-14.9,-18.6,-10.7,,3.3,1.1
108,서울,2021-01-09,-12.2,-16.6,-7.5,,2.6,1
108,서울,2021-01-10,-7.7,-12.8,-2.7,,1.3,.7
108,서울,2021-01-11,-6.7,-9.6,-4,,1.9,.4
108,서울,2021-01-12,-3.9,-9.3,-.5,2.6,1.8,5.1
108,서울,2021-01-13,2,-3,8.3,0,2.4,5
108,서울,2021-01-14,1.7,-3.6,7,,2.3,
108,서울,2021-01-15,4.5,-.7,9.9,.2,3,
108,서울,2021-01-16,-4.9,-8.7,-.7,,3.3,
108,서울,2021-01-17,-5.5,-10.8,-1.3,0,2.3,.1
108,서울,2021-01-18,-3.8,-9.1,.2,.3,3.2,1
108,서울,2021-01-19,-6.3,-11.6,-.2,,1.8,
108,서울,2021-01-20,-.1,-6.6,7.1,,2.2,
108,서울,2021-01-21,4.5,2.5,7,9.2,2.3,
108,서울,2021-01-22,5.5,4.8,6.6,.1,1.7,
108,서울,2021-01-23,7.6,4.8,12.2,,4.2,
108,서울,2021-01-24,7.3,2.4,13.9,,2.1,
108,서울,2021-01-25,7.9,3,13.9,,1.9,
108,서울,2021-01-26,5.3,1.7,7.4,1.7,1.9,
108,서울,2021-01-27,1.7,-1.8,6.5,,2.2,
108,서울,2021-01-28,-2.6,-9.7,1.4,2,4,3.6
108,서울,2021-01-29,-8.8,-11.6,-4.9,,3.5,.7
108,서울,2021-01-30,-1.6,-8.1,5.2,.5,2.5,.8
108,서울,2021-01-31,3.2,-3.8,8.7,,2,
108,서울,2021-02-01,5,-2.3,9.5,.7,2.7,
108,서울,2021-02-02,-5.6,-8.2,-2.4,0,3.9,
108,서울,2021-02-03,-3.2,-9.4,1.4,3.4,2.2,4.2
108,서울,2021-02-04,-3.6,-7.4,.7,.1,2.5,4.3
108,서울,2021-02-05,1.4,-4.4,6.7,,2.4,1.4
108,서울,2021-02-06,6.8,4.3,9.5,,2.2,
108,서울,2021-02-07,3.6,-2.6,7.7,,2.9,
108,서울,2021-02-08,-3.1,-5.4,.2,,3.4,
108,서울,2021-02-09,-.9,-6.1,4.7,,2,
108,서울,2021-02-10,3.4,-1.5,7.2,,2.1,
108,서울,2021-02-11,5.5,1.3,10.9,,1.3,
108,서울,2021-02-12,6.5,.6,14,,1.7,
108,서울,2021-02-13,7.6,1,15.9,,1.5,
108,서울,2021-02-14,9.5,6.4,13.8,0,1.7,
108,서울,2021-02-15,1.2,-5.2,8.2,1.4,4,
108,서울,2021-02-16,-5.1,-7,-1.3,1.5,3.2,1.1
108,서울,2021-02-17,-8.3,-10.4,-5.2,0,5,.9
108,서울,2021-02-18,-5.8,-10.6,-.4,,3.1,.2
108,서울,2021-02-19,1.6,-7.1,8.9,,2.9,
108,서울,2021-02-20,8.8,5.5,14.9,,2.1,
108,서울,2021-02-21,10.8,4.7,17.4,,2.8,
108,서울,2021-02-22,7.8,.4,12.6,,2.9,
108,서울,2021-02-23,0,-3.1,4.3,,2.9,
108,서울,2021-02-24,2.9,-3,10.1,,1.8,
108,서울,2021-02-25,4.2,.7,8.2,,1.4,
108,서울,2021-02-26,8.2,.5,15.8,,2.3,
108,서울,2021-02-27,9.5,4.3,16.2,,3.4,
108,서울,2021-02-28,7.8,3.2,10.8,,2.1,
108,서울,2021-03-01,4.7,.5,9,67.5,3.5,2.3
108,서울,2021-03-02,2.3,.2,6.9,.1,1.9,2.3
108,서울,2021-03-03,4.4,-1.2,9.9,,1.8,
108,서울,2021-03-04,7.2,2.5,13,,1.9,
108,서울,2021-03-05,9,3,16.2,,2.1,
108,서울,2021-03-06,6.6,3.2,11.6,,3.3,
108,서울,2021-03-07,6.2,2.1,12.2,,2.8,
108,서울,2021-03-08,7,1.5,13.9,,1.8,
108,서울,2021-03-09,6.6,2.1,12.2,,2.2,
108,서울,2021-03-10,8.8,1.7,17.1,,1.8,
108,서울,2021-03-11,10.2,4.7,17.1,,1.8,
108,서울,2021-03-12,10.5,7.2,14.9,0,2.2,
108,서울,2021-03-13,9.2,4.6,14.2,,2.2,
108,서울,2021-03-14,9.1,4.9,14.7,,2.2,
108,서울,2021-03-15,10.6,5.1,15.7,1.7,2.4,
108,서울,2021-03-16,8.4,4.9,13.1,1.3,3.2,
108,서울,2021-03-17,8.8,1.8,17.5,,1.8,
108,서울,2021-03-18,11.7,5,18.4,,1.8,
108,서울,2021-03-19,15.3,11.4,20.2,,2.2,
108,서울,2021-03-20,9.9,7.4,14.7,5.1,2.2,
108,서울,2021-03-21,5.8,3.1,8.6,.3,4,
108,서울,2021-03-22,6.2,1.1,11.1,,3.2,
108,서울,2021-03-23,9.1,2.5,16.4,,2.5,
108,서울,2021-03-24,10.8,5.7,16.9,,2.4,
108,서울,2021-03-25,11.9,6.8,19,,2.2,
108,서울,2021-03-26,12.6,4.8,20.6,,1.4,
108,서울,2021-03-27,12.1,10.2,15,25.5,2.5,
108,서울,2021-03-28,9,7.7,13,9.2,3.3,
108,서울,2021-03-29,10.2,7.3,14.6,.2,3.3,
108,서울,2021-03-30,10.8,4.1,18.2,,2.2,
108,서울,2021-03-31,14.5,5.9,22.9,,1.8,
108,서울,2021-04-01,17.7,12,24,,3.5,
