STA_LOC,RENT_NM,STAT_DATA,RENT_CNT,RTN_CNT,START_INDEX,END_INDEX,RNUM
마포구,108. 서교동 사거리,2022-01-01,17,30,0,0,1
양천구,729. 서부식자재마트 건너편,2022-01-01,39,38,0,0,2
양천구,731. 서울시 도로환경관리센터,2022-01-01,25,32,0,0,3
양천구,732. 신월중학교,2022-01-01,15,13,0,0,4
양천구,733. 신정이펜하우스314동,2022-01-01,5,1,0,0,5
양천구,734. 신트리공원 입구,2022-01-01,33,25,0,0,6
양천구,735. 영도초등학교,2022-01-01,35,41,0,0,7
양천구,736. 오솔길공원,2022-01-01,16,11,0,0,8
양천구,737. 장수공원,2022-01-01,9,6,0,0,9
양천구,739. 신월사거리,2022-01-01,13,11,0,0,10
양천구,740. 으뜸공원,2022-01-01,8,11,0,0,11
양천구,741. 화곡로 입구 교차로,2022-01-01,1,2,0,0,12
양천구,742. 등촌역 5번 출구 뒤,2022-01-01,13,11,0,0,13
양천구,743. 현대6차아파트 101동 옆,2022-01-01,11,15,0,0,14
양천구,744. 신목동역 2번 출구,2022-01-01,22,21,0,0,15
양천구,745. 강서초등학교,2022-01-01,6,5,0,0,16
양천구,746. 목동2단지 상가,2022-01-01,37,28,0,0,17
양천구,747. 목동3단지 상가,2022-01-01,15,12,0,0,18
양천구,748. 목동운동장,2022-01-01,10,10,0,0,19
광진구,505. 자양사거리 광진아크로텔 앞,2022-01-01,17,16,0,0,20
은평구,934. 신사동 성당,2022-01-01,6,2,0,0,21
은평구,937. 상림마을 롯데캐슬2단지 옆,2022-01-01,2,8,0,0,22
은평구,938. 금암 문화공원,2022-01-01,2,1,0,0,23
은평구,939. 은평구청 교차로,2022-01-01,7,6,0,0,24
은평구,941. 은평뉴타운 도서관,2022-01-01,5,7,0,0,25
은평구,942. 상림마을 생태공원,2022-01-01,6,1,0,0,26
은평구,943. 은평구청 보건소,2022-01-01,18,18,0,0,27
성동구,506. 금호 어울림 아파트 앞,2022-01-01,6,6,0,0,28
은평구,945. 기자촌 사거리 A,2022-01-01,1,2,0,0,29
은평구,946. 독바위역 ,2022-01-01,9,9,0,0,30
은평구,947. 연신내 선일하이츠빌 정류소,2022-01-01,10,5,0,0,31
은평구,948. 디지털미디어 시티역 4번출구(DMC역),2022-01-01,6,12,0,0,32
은평구,949. 연신내역 1번 출구 ,2022-01-01,14,11,0,0,33
은평구,950. 구산역 2번 출구 예일여고 버스정류장,2022-01-01,16,18,0,0,34
