STA_LOC,RENT_NM,STAT_DATA,RENT_CNT,RTN_CNT,START_INDEX,END_INDEX,RNUM
마포구,108. 서교동 사거리,2024-01-01,32,30,0,0,1
양천구,729. 서부식자재마트 건너편,2024-01-01,23,25,0,0,2
양천구,731. 서울시 도로환경관리센터,2024-01-01,50,51,0,0,3
양천구,732. 신월중학교,2024-01-01,26,33,0,0,4
양천구,733. 신정이펜하우스314동,2024-01-01,7,3,0,0,5
양천구,734. 신트리공원 입구,2024-01-01,62,61,0,0,6
양천구,735. 영도초등학교,2024-01-01,42,69,0,0,7
양천구,736. 오솔길공원,2024-01-01,22,18,0,0,8
양천구,737. 장수공원,2024-01-01,13,13,0,0,9
양천구,739. 신월사거리,2024-01-01,16,14,0,0,10
양천구,740. 으뜸공원,2024-01-01,17,13,0,0,11
양천구,741. 화곡로 입구 교차로,2024-01-01,6,8,0,0,12
양천구,742. 등촌역 5번 출구 뒤,2024-01-01,11,14,0,0,13
양천구,743. 현대6차아파트 101동 옆,2024-01-01,18,13,0,0,14
양천구,744. 신목동역 2번 출구,2024-01-01,28,37,0,0,15
양천구,745. 강서초등학교,2024-01-01,7,7,0,0,16
양천구,746. 목동2단지 상가,2024-01-01,66,64,0,0,17
양천구,747. 목동3단지 상가,2024-01-01,43,38,0,0,18
양천구,748. 목동운동장,2024-01-01,14,12,0,0,19
광진구,505. 자양사거리 광진아크로텔 앞,2024-01-01,25,25,0,0,20
은평구,934. 신사동 성당,2024-01-01,5,4,0,0,21
은평구,937. 상림마을 롯데캐슬2단지 옆,2024-01-01,5,6,0,0,22
은평구,938. 금암 문화공원,2024-01-01,5,5,0,0,23
은평구,939. 은평구청 교차로,2024-01-01,10,6,0,0,24
은평구,941. 은평뉴타운 도서관,2024-01-01,8,6,0,0,25
은평구,942. 상림마을 생태공원,2024-01-01,3,2,0,0,26
은평구,943. 은평구청 보건소,2024-01-01,20,22,0,0,27
성동구,506. 금호 어울림 아파트 앞,2024-01-01,13,11,0,0,28
은평구,945. 기자촌 사거리 A,2024-01-01,1,0,0,0,29
은평구,946. 독바위역 ,2024-01-01,8,6,0,0,30
은평구,947. 연신내 선일하이츠빌 정류소,2024-01-01,6,5,0,0,31
은평구,948. 디지털미디어 시티역 4번출구(DMC역),2024-01-01,11,9,0,0,32
은평구,949. 연신내역 1번 출구 ,2024-01-01,24,23,0,0,33
은평구,950. 구산역 2번 출구 예일여고 버스정류장,2024-01-01,19,26,0,0,34
은평구,952. 서울연신중학교,2024-01-01,6,4,0,0,35
은평구,953. 서울연신초등학교,2024-01-01,2,2,0,0,36
강동구,1023. 한국종합기술사옥 앞,2024-01-01,6,11,0,0,37
강동구,1024.  강동구청 앞,2024-01-01,49,47,0,0,38
강동구,1025. 상일초등학교,2024-01-01,12,9,0,0,39
강동구,1027. 프라자 아파트 앞,2024-01-01,10,15,0,0,40
강동구,1028. 포레스 주상복합 빌딩,2024-01-01,23,27,0,0,41
강동구,1029. 성내어울터,2024-01-01,51,55,0,0,42
강동구,1030. 미호 플랜트 앞,2024-01-01,13,13,0,0,43
강동구,1031. 올림픽로 836(아리수로),2024-01-01,5,8,0,0,44
성동구,508. 성수아카데미타워 앞,2024-01-01,24,15,0,0,45
강동구,1033. 고덕동 아남아파트,2024-01-01,12,8,0,0,46
강동구,1034. 고덕동 래미안 힐스테이트,2024-01-01,1,0,0,0,47
강동구,1036. 고덕동 주양쇼핑,2024-01-01,9,11,0,0,48
강동구,1037. 강일리버파크 6단지,2024-01-01,3,4,0,0,49
강동구,1038. 강일 다솜 어린이 공원,2024-01-01,7,3,0,0,50
강동구,1039. 고덕초등학교,2024-01-01,0,1,0,0,51
강동구,1041. 묘곡초등학교,2024-01-01,3,6,0,0,52
강동구,1042. 강일리버파크 2~5단지,2024-01-01,9,7,0,0,53
강동구,1044. 굽은다리역,2024-01-01,75,70,0,0,54
강서구,1150. 송정역 1번출구,2024-01-01,43,51,0,0,55
강서구,1151. 마곡역1번출구,2024-01-01,33,30,0,0,56
강서구,1152. 마곡역교차로,2024-01-01,48,41,0,0,57
강서구,"1153. 발산역 1번, 9번 인근 대여소",2024-01-01,128,130,0,0,58
강서구,1155. 기쁜우리복지관,2024-01-01,38,47,0,0,59
강서구,1157. 강서구청,2024-01-01,33,54,0,0,60
성동구,510. 뚝도아리수정수센터 버스정류소 옆,2024-01-01,10,13,0,0,61
송파구,1251. 석촌역 2번출구,2024-01-01,62,54,0,0,62
송파구,1253. 오금역 3번 출구 뒤,2024-01-01,8,8,0,0,63
송파구,1256. 문정현대아파트 교차로,2024-01-01,10,10,0,0,64
송파구,1257. 가락시장역 사거리,2024-01-01,7,7,0,0,65
송파구,1258. 가락미륭아파트 앞,2024-01-01,4,5,0,0,66
