STA_LOC,RENT_NM,STAT_DATA,RENT_CNT,RTN_CNT,START_INDEX,END_INDEX,RNUM
광진구,3510. 중곡SK아파트앞,2022-07-01,28,30,0,0,381
광진구,3524. 세종대학교,2022-07-01,16,12,0,0,382
광진구,3523. 건국대학교 과학관(이과대) 앞,2022-07-01,42,43,0,0,383
종로구,327. 낙원상가 옆,2022-07-01,68,71,0,0,384
종로구,397. 종묘공영주차장 건너편,2022-07-01,21,20,0,0,385
강남구,2388. 강남구 도시관리공단,2022-07-01,36,11,0,0,386
도봉구,1728. 서울북부지방법원,2022-07-01,16,17,0,0,387
중구,398. 을지로3가역 3번출구,2022-07-01,80,95,0,0,388
중구,399. 서울역 센트럴 자이아파트,2022-07-01,49,29,0,0,389
중구,428. 명보사거리,2022-07-01,22,18,0,0,390
중구,429. 송도병원,2022-07-01,8,5,0,0,391
중구,430. 장충동먹자골목 앞,2022-07-01,37,43,0,0,392
종로구,328. 탑골공원 앞,2022-07-01,55,44,0,0,393
중구,431. 청계천 영도교,2022-07-01,151,148,0,0,394
용산구,839. 보광동 삼성리버빌아파트 앞,2022-07-01,32,37,0,0,395
용산구,840. 용산 파크타워 앞,2022-07-01,25,22,0,0,396
용산구,841. 신용산역 1번 출구,2022-07-01,114,104,0,0,397
용산구,843. 이태원관광특구B(용산구청쪽),2022-07-01,20,9,0,0,398
용산구,844. 이촌2동 동원베네스트 아파트 앞,2022-07-01,47,66,0,0,399
동대문구,652. 답십리 래미안엘파인아파트 입구,2022-07-01,25,27,0,0,400
동대문구,654. 전농동 텃골공원,2022-07-01,39,34,0,0,401
종로구,329. 청계2가 사거리 옆,2022-07-01,87,77,0,0,402
중랑구,1458. 상봉터미널2,2022-07-01,85,91,0,0,403
중랑구,1459. 용마한신아파트사거리,2022-07-01,9,9,0,0,404
성북구,1362. 보문역6번출구 앞,2022-07-01,69,72,0,0,405
성북구,1363. 보문4교 인근,2022-07-01,88,99,0,0,406
성북구,1364. 성북동 치안센터 앞,2022-07-01,25,32,0,0,407
성북구,1365. 선잠단지 앞,2022-07-01,12,4,0,0,408
성북구,1366. 일신초등학교 옆,2022-07-01,9,13,0,0,409
성북구,1367. 길음문화복합미디어센터,2022-07-01,29,25,0,0,410
성북구,1368. 성신여대입구 교차로,2022-07-01,46,44,0,0,411
도봉구,1729. 도봉한신아파트 버스정류장,2022-07-01,45,40,0,0,412
도봉구,1730. 도봉산역 교차로 앞,2022-07-01,7,10,0,0,413
도봉구,1731. 도봉고등학교 맞은편,2022-07-01,12,10,0,0,414
도봉구,1732. 방학역사거리,2022-07-01,26,32,0,0,415
도봉구,1733. 방학사거리 (봄마당 앞),2022-07-01,43,48,0,0,416
도봉구,1734. 쌍문현대1차아파트 108동 앞,2022-07-01,51,41,0,0,417
도봉구,"1735. 도봉역 1,2번 출구사이 건너편",2022-07-01,49,45,0,0,418
도봉구,1736. 버스정류장 앞,2022-07-01,38,22,0,0,419
도봉구,1737. 신창시장,2022-07-01,71,76,0,0,420
중구,331. 을지로2가 사거리 북측,2022-07-01,58,58,0,0,421
도봉구,1738. 창동주공17단지 상가앞,2022-07-01,74,89,0,0,422
노원구,1683. 노원문화예술회관,2022-07-01,72,73,0,0,423
노원구,1684. 태릉입구역 5번출구,2022-07-01,166,159,0,0,424
노원구,1685. 불암고등학교 앞 횡단보도,2022-07-01,53,57,0,0,425
노원구,1686. 상계주공10단지 종합상가 앞,2022-07-01,98,94,0,0,426
은평구,958. 본 서부병원 버스정류장(은평 세무서 방면),2022-07-01,47,51,0,0,427
중구,332. 을지로2가 사거리 남측,2022-07-01,52,48,0,0,428
은평구,959. 구파발10단지 인근,2022-07-01,16,13,0,0,429
은평구,960. 구파발역 환승센터,2022-07-01,25,36,0,0,430
은평구,961. 불광역 9번 출구,2022-07-01,71,68,0,0,431
은평구,962. 은평뉴타운 힐데스하임,2022-07-01,53,49,0,0,432
은평구,963. 불광롯데캐슬아파트 앞,2022-07-01,29,30,0,0,433
은평구,964. 북한산힐스테이트 7차아파트,2022-07-01,20,11,0,0,434
은평구,965. 서울특별시 은평병원,2022-07-01,26,6,0,0,435
은평구,966. 서울혁신파크1,2022-07-01,15,16,0,0,436
은평구,967. 서울혁신파크2,2022-07-01,17,17,0,0,437
은평구,968. 은평뉴타운 상림마을 13단지,2022-07-01,4,5,0,0,438
은평구,969. 은평 지웰테라스,2022-07-01,4,4,0,0,439
서대문구,3103. 홍제삼거리 북측,2022-07-01,54,49,0,0,440
서대문구,3104. e편한세상 신촌4단지 앞,2022-07-01,39,34,0,0,441
서대문구,3105. 홍은센트레빌 아파트 앞,2022-07-01,23,6,0,0,442
마포구,432. 마포중앙도서관,2022-07-01,27,6,0,0,443
양천구,754. 목동1단지아파트 118동 앞,2022-07-01,65,81,0,0,444
양천구,755. 목동1단지아파트 상가 앞,2022-07-01,161,156,0,0,445
양천구,756. 목동주차장,2022-07-01,90,99,0,0,446
양천구,757. 신정이펜하우스 1단지아파트 입구 사거리,2022-07-01,18,17,0,0,447
양천구,758. 한사랑교회 앞,2022-07-01,67,68,0,0,448
마포구,111. 상수역 2번출구 앞,2022-07-01,49,47,0,0,449
종로구,334. 종로3가역 2번출구 뒤,2022-07-01,81,92,0,0,450
양천구,759. 보아스아파트 앞,2022-07-01,38,47,0,0,451
양천구,760. 잣절보도육교 아래,2022-07-01,31,24,0,0,452
양천구,762. 오목로 무중력지대 앞,2022-07-01,42,39,0,0,453
양천구,763. 목동11단지 아파트,2022-07-01,83,60,0,0,454
양천구,764. 목동청소년수련관,2022-07-01,192,142,0,0,455
강서구,1169. 염창역 1번 출구,2022-07-01,115,88,0,0,456
강서구,1170. 강서구보건소,2022-07-01,53,50,0,0,457
강서구,1171. 염창동 새마을금고 건너편,2022-07-01,41,51,0,0,458
강서구,1172. 가양3동 주민센터,2022-07-01,94,99,0,0,459
종로구,335. 종로3가역 15번출구 앞,2022-07-01,64,69,0,0,460
강서구,1173. 강서구청사거리(SH타워),2022-07-01,172,140,0,0,461
강서구,1174. 강서구청사거리(부민병원),2022-07-01,72,71,0,0,462
강서구,1175. 대한항공 인력개발센터,2022-07-01,75,52,0,0,463
강서구,1177. 수명중․고교,2022-07-01,106,107,0,0,464
강서구,1178. 개화산역 2번 출구,2022-07-01,45,45,0,0,465
강서구,1180. 마곡엠밸리 15단지(1502동) 건너편,2022-07-01,135,133,0,0,466
강서구,1181. 농수산식품공사 (강서지사),2022-07-01,24,20,0,0,467
강서구,1182. KBS 스포츠월드,2022-07-01,170,160,0,0,468
중구,336. 충무로역 6번출구 앞,2022-07-01,52,53,0,0,469
강서구,1183. 강서대학교,2022-07-01,24,15,0,0,470
구로구,1986. 태평양물산,2022-07-01,164,163,0,0,471
구로구,1987. 개봉아이파크아파트 앞,2022-07-01,37,41,0,0,472
구로구,1988. 고척LIGA아파트 앞,2022-07-01,93,102,0,0,473
구로구,1991. 오류동역 맞은편,2022-07-01,67,77,0,0,474
구로구,1992. 구로구배드민턴실내체육관 앞,2022-07-01,20,20,0,0,475
구로구,1993. 금강수목원아파트 앞,2022-07-01,36,32,0,0,476
구로구,1994. 삼성전자 물류센터 앞,2022-07-01,53,51,0,0,477
종로구,337. 창경궁 입구,2022-07-01,27,31,0,0,478
구로구,1996. 구일역 1번 출입구 앞,2022-07-01,67,95,0,0,479
금천구,1852. 혜명양로원 담장 옆,2022-07-01,16,11,0,0,480
금천구,1853. 서울디자인직업전문학교 앞,2022-07-01,14,15,0,0,481
금천구,1854. 가산아네스트 오피스텔 앞,2022-07-01,46,25,0,0,482
금천구,1855. 성지아파트 옆 도로변,2022-07-01,7,10,0,0,483
금천구,1856. 모두의학교,2022-07-01,45,36,0,0,484
금천구,1857. 주공14단지,2022-07-01,26,20,0,0,485
영등포구,280. 양평동6차현대아파트 앞,2022-07-01,117,123,0,0,486
종로구,338. 세운스퀘어 앞,2022-07-01,48,47,0,0,487
영등포구,281. 대림신동아아파트 앞,2022-07-01,39,36,0,0,488
영등포구,282. 신한은행 대림동지점,2022-07-01,20,22,0,0,489
동작구,2066. 양문교회 앞,2022-07-01,51,48,0,0,490
동작구,2067. 보라매역․동작세무서 버스정류장(강남중학교방면),2022-07-01,67,86,0,0,491
